surname,rank,count,percent,year
김,1,10689959,21.56,2015
이,2,7306828,14.74,2015
박,3,4192074,8.46,2015
정,4,2407365,4.86,2015
최,5,2340509,4.72,2015
조,6,1453827,2.93,2015
강,7,1268472,2.56,2015
윤,8,1020547,2.06,2015
장,9,1019993,2.06,2015
임,10,1015182,2.05,2015
신,11,985823,1.99,2015
유,12,963296,1.94,2015
한,13,773404,1.56,2015
오,14,763281,1.54,2015
서,15,751704,1.52,2015
전,16,749257,1.51,2015
권,17,705941,1.42,2015
황,18,697171,1.41,2015
안,19,685639,1.38,2015
송,20,683494,1.38,2015
홍,21,558853,1.13,2015
양,22,529701,1.07,2015
고,23,471396,0.95,2015
문,24,464040,0.94,2015
손,25,457303,0.92,2015
배,26,400641,0.81,2015
백,27,381986,0.77,2015
허,28,326770,0.66,2015
노,29,314927,0.64,2015
남,30,275648,0.56,2015
심,31,271749,0.55,2015
하,32,232956,0.47,2015
주,33,232006,0.47,2015
구,34,208462,0.42,2015
곽,35,203188,0.41,2015
성,36,199124,0.4,2015
차,37,194782,0.39,2015
우,38,194713,0.39,2015
진,39,186206,0.38,2015
민,40,171740,0.35,2015
류,41,163703,0.33,2015
나,42,160946,0.32,2015
지,43,159561,0.32,2015
엄,44,144425,0.29,2015
변,45,138789,0.28,2015
채,46,131557,0.27,2015
원,47,129522,0.26,2015
방,48,128351,0.26,2015
천,49,121780,0.25,2015
공,50,91869,0.19,2015
현,51,88824,0.18,2015
함,52,80659,0.16,2015
여,53,80656,0.16,2015
염,54,69387,0.14,2015
석,55,60558,0.12,2015
추,56,60483,0.12,2015
도,57,57874,0.12,2015
소,58,53733,0.11,2015
설,59,45583,0.09,2015
선,60,42733,0.09,2015
마,61,38949,0.08,2015
길,62,38173,0.08,2015
연,63,34766,0.07,2015
위,64,31342,0.06,2015
표,65,30743,0.06,2015
명,66,29110,0.06,2015
기,67,28829,0.06,2015
반,68,28062,0.06,2015
라,69,25960,0.05,2015
왕,70,25565,0.05,2015
금,71,25432,0.05,2015
옥,72,25107,0.05,2015
육,73,23455,0.05,2015
인,74,22363,0.05,2015
맹,75,22028,0.04,2015
제,76,21976,0.04,2015
모,77,21534,0.04,2015
남궁,78,21308,0.04,2015
탁,79,21099,0.04,2015
국,80,20547,0.04,2015
어,81,18849,0.04,2015
경,82,16935,0.03,2015
은,83,16894,0.03,2015
편,84,16689,0.03,2015
용,85,15276,0.03,2015
예,86,13568,0.03,2015
봉,87,12927,0.03,2015
사,88,10730,0.02,2015
부,89,10536,0.02,2015
황보,90,10383,0.02,2015
가,91,9936,0.02,2015
복,92,9538,0.02,2015
태,93,9063,0.02,2015
목,94,8848,0.02,2015
형,95,7239,0.01,2015
피,96,6578,0.01,2015
두,97,6428,0.01,2015
감,98,6024,0.01,2015
호,99,5829,0.01,2015
제갈,100,5655,0.01,2015
음,101,5604,0.01,2015
빈,102,5593,0.01,2015
동,103,5462,0.01,2015
온,104,5418,0.01,2015
사공,105,4476,0.01,2015
시,106,4344,0.01,2015
범,107,3826,0.01,2015
선우,108,3588,0.01,2015
좌,109,3374,0.01,2015
팽,110,2935,0.01,2015
승,111,2616,0.01,2015
간,112,2517,0.01,2015
상,113,2372,0.0,2015
갈,114,2083,0.0,2015
서문,115,2028,0.0,2015
단,116,1611,0.0,2015
견,117,1248,0.0,2015
당,118,1141,0.0,2015
